epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.145,1.99958,3.21525,2.33056,0.00238,0.71429,0.05835,0.01733,2.08292,4.36349,3.35411,6e-05,6e-05,6e-05
2,222.095,1.839,3.03598,2.14658,0.00333,1,0.09873,0.03781,2.22911,4.21745,3.36886,0.000138614,0.000138614,0.000138614
3,245.817,1.78474,3.01351,2.16078,0.00286,0.85714,0.11681,0.02682,2.31324,4.30612,3.44803,0.000215644,0.000215644,0.000215644
4,268.856,1.64571,2.77163,2.00225,0.00238,0.71429,0.14857,0.04351,2.30782,4.1945,3.41026,0.00029109,0.00029109,0.00029109
5,291.114,1.74778,2.89578,2.16398,0.00286,0.85714,0.12568,0.05297,2.26843,4.24835,3.27953,0.000364952,0.000364952,0.000364952
6,313.188,1.55226,2.69481,1.95854,0.00333,1,0.10049,0.03399,2.49859,4.2984,3.49449,0.00043723,0.00043723,0.00043723
7,334.301,1.67845,2.81701,1.99323,0.00286,0.85714,0.12532,0.05628,2.46537,4.2128,3.08646,0.000507924,0.000507924,0.000507924
8,355.958,1.57981,2.74094,1.92433,0.00286,0.85714,0.24144,0.13058,2.35285,4.18614,2.9343,0.000577034,0.000577034,0.000577034
9,377.975,1.49084,2.63636,1.8695,0.00286,0.85714,0.10629,0.04902,2.49676,3.87234,3.18675,0.00064456,0.00064456,0.00064456
10,399.401,1.58516,2.45203,1.90992,0.00333,1,0.08038,0.02032,2.34489,4.34858,3.14699,0.000710502,0.000710502,0.000710502
11,422.303,1.70653,2.59026,1.96052,0.00333,1,0.06248,0.01845,2.44171,4.4719,3.23542,0.00077486,0.00077486,0.00077486
12,450.777,1.59446,2.4515,1.84533,0.00808,1,0.11886,0.02834,2.2254,4.04512,3.10687,0.000837634,0.000837634,0.000837634
13,472.645,1.597,2.44022,1.86839,0.09785,0.85714,0.161,0.04958,2.05438,3.72278,2.68248,0.000898824,0.000898824,0.000898824
14,493.856,1.67711,2.69967,1.91544,0.2245,0.28571,0.19358,0.06135,1.98764,3.54509,2.87086,0.00095843,0.00095843,0.00095843
15,515.248,1.52915,2.41729,1.8296,0.06043,0.57143,0.14866,0.03836,2.41836,3.78236,3.75308,0.00101645,0.00101645,0.00101645
16,536.861,1.64663,2.57562,1.90699,0.15848,0.28571,0.16315,0.04784,2.12523,3.95373,3.43467,0.00107289,0.00107289,0.00107289
17,558.512,1.64965,2.4069,1.8536,0.03828,0.42857,0.0475,0.01388,2.65433,4.39017,3.60284,0.00112774,0.00112774,0.00112774
18,580.054,1.63982,2.38641,1.86473,0.01063,0.14286,0.02759,0.00677,2.91301,6.25594,3.9018,0.00118101,0.00118101,0.00118101
19,601.772,1.53368,2.34171,1.79494,0.01824,0.28571,0.02437,0.00866,2.68852,5.37353,3.32863,0.0012327,0.0012327,0.0012327
20,623.128,1.53751,2.33236,1.88915,0.04827,0.14286,0.04642,0.01434,2.67288,4.40569,3.366,0.0012828,0.0012828,0.0012828
21,645.469,1.63601,2.4507,1.86703,0.18305,0.14286,0.05461,0.01084,3.49748,6.06163,5.43943,0.00133132,0.00133132,0.00133132
22,668.015,1.67139,2.46204,1.96879,0.0106,0.42857,0.00822,0.00132,4.01926,5.87059,6.02842,0.00137825,0.00137825,0.00137825
23,690.266,1.61345,2.15323,1.96412,0.02494,0.14286,0.0127,0.00159,4.18257,6.51754,6.77314,0.0014236,0.0014236,0.0014236
24,712.547,1.57581,2.18201,1.91414,0.00143,0.42857,0.00676,0.00092,3.96051,5.88104,5.63161,0.00146737,0.00146737,0.00146737
