epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5816,1.4116,2.81417,1.75477,0.61343,0.88258,0.8879,0.6156,1.39258,1.32753,1.2503,0,0,0
2,33.7036,1.24866,2.62006,1.44082,0.59672,0.89736,0.88811,0.61799,1.40458,1.35158,1.25644,1.17822e-06,1.17822e-06,1.17822e-06
3,36.2387,1.14155,4.21642,1.49516,0.57906,0.83333,0.87397,0.61303,1.41934,1.38374,1.26305,2.33288e-06,2.33288e-06,2.33288e-06
4,38.672,1.26602,2.66753,1.44925,0.54577,0.85518,0.87205,0.60506,1.45368,1.4186,1.27875,3.46397e-06,3.46397e-06,3.46397e-06
5,41.0103,1.33652,2.85512,1.6306,0.56995,0.83333,0.87216,0.59728,1.47986,1.45239,1.29523,4.5715e-06,4.5715e-06,4.5715e-06
6,43.7175,1.63143,4.7079,1.92342,0.85308,0.57292,0.87404,0.58056,1.49098,1.50752,1.31007,5.65548e-06,5.65548e-06,5.65548e-06
7,46.0863,1.39102,2.08079,1.54946,0.83811,0.56667,0.88594,0.57715,1.5052,1.54802,1.32062,6.71588e-06,6.71588e-06,6.71588e-06
8,48.3924,1.51713,3.13993,1.78324,0.83521,0.56667,0.88234,0.5469,1.51822,1.62894,1.34186,7.75273e-06,7.75273e-06,7.75273e-06
9,50.6962,1.07358,2.58994,1.35441,0.81789,0.56667,0.77945,0.5384,1.54346,1.69223,1.36048,8.76602e-06,8.76602e-06,8.76602e-06
10,53.0894,0.97614,3.33818,1.49129,0.79564,0.56667,0.74397,0.53444,1.55455,1.73857,1.37652,9.75574e-06,9.75574e-06,9.75574e-06
11,55.4204,1.35312,2.74252,1.53695,0.79587,0.58333,0.74426,0.5345,1.55378,1.74988,1.3763,1.07219e-05,1.07219e-05,1.07219e-05
12,57.7755,1.03511,2.04703,1.39474,0.77386,0.58333,0.74434,0.53466,1.55237,1.76781,1.37509,1.16645e-05,1.16645e-05,1.16645e-05
13,60.1663,0.96673,2.56504,1.22993,0.74727,0.58333,0.74415,0.53464,1.52381,1.78205,1.35904,1.25835e-05,1.25835e-05,1.25835e-05
14,62.5919,1.37973,2.4192,1.79139,0.76665,0.58333,0.74312,0.52637,1.51194,1.81203,1.35399,1.3479e-05,1.3479e-05,1.3479e-05
15,64.9381,0.81763,1.69428,1.11965,0.7899,0.41667,0.74164,0.53949,1.50659,1.82845,1.34771,1.43509e-05,1.43509e-05,1.43509e-05
16,67.3918,1.08393,2.12529,1.51728,0.92728,0.37327,0.74167,0.5346,1.51886,1.85153,1.35579,1.51993e-05,1.51993e-05,1.51993e-05
17,69.8454,0.82413,1.64668,1.15794,0.92688,0.37337,0.65989,0.49842,1.52032,1.88208,1.35913,1.60241e-05,1.60241e-05,1.60241e-05
18,72.2205,1.12162,1.60269,1.34364,0.92688,0.37337,0.65989,0.49842,1.52032,1.88208,1.35913,1.68253e-05,1.68253e-05,1.68253e-05
19,74.6436,0.96987,1.68143,1.16236,0.92616,0.37335,0.63236,0.48466,1.56061,1.97558,1.37081,1.7603e-05,1.7603e-05,1.7603e-05
20,76.9561,1.0158,1.59971,1.32204,0.92616,0.37335,0.63236,0.48466,1.56061,1.97558,1.37081,1.83571e-05,1.83571e-05,1.83571e-05
21,79.3703,1.24479,2.74275,1.63696,0.92039,0.37325,0.60379,0.46529,1.59251,2.07006,1.40773,1.90876e-05,1.90876e-05,1.90876e-05
22,81.6969,1.27721,2.46747,1.67908,0.92039,0.37325,0.60379,0.46529,1.59251,2.07006,1.40773,1.97946e-05,1.97946e-05,1.97946e-05
23,84.0678,0.93977,1.89148,1.40944,0.91674,0.37313,0.60472,0.46334,1.59559,2.12197,1.41032,2.0478e-05,2.0478e-05,2.0478e-05
24,86.4071,1.04595,2.15363,1.52589,0.91674,0.37313,0.60472,0.46334,1.59559,2.12197,1.41032,2.11379e-05,2.11379e-05,2.11379e-05
25,88.7858,0.84584,1.6252,1.25341,0.91942,0.37317,0.58448,0.44125,1.62261,2.2106,1.44328,2.17741e-05,2.17741e-05,2.17741e-05
26,91.1285,0.95675,1.9016,1.37898,0.91942,0.37317,0.58448,0.44125,1.62261,2.2106,1.44328,2.23869e-05,2.23869e-05,2.23869e-05
27,93.5066,0.87179,1.86772,1.37507,0.9149,0.37297,0.5763,0.44035,1.64386,2.25485,1.46936,2.2976e-05,2.2976e-05,2.2976e-05
28,95.8562,0.81624,1.17317,1.17491,0.9149,0.37297,0.5763,0.44035,1.64386,2.25485,1.46936,2.35417e-05,2.35417e-05,2.35417e-05
29,98.2262,0.91588,1.51169,1.25368,0.91587,0.37302,0.57729,0.44039,1.63909,2.26239,1.46809,2.40837e-05,2.40837e-05,2.40837e-05
30,100.639,1.29373,2.50326,1.57231,0.91587,0.37302,0.57729,0.44039,1.63909,2.26239,1.46809,2.46022e-05,2.46022e-05,2.46022e-05
31,103.109,0.92104,1.23792,1.22863,0.91663,0.37314,0.57737,0.43942,1.64358,2.26397,1.47487,2.50971e-05,2.50971e-05,2.50971e-05
32,105.429,0.64105,1.30705,1.13808,0.91663,0.37314,0.57737,0.43942,1.64358,2.26397,1.47487,2.55685e-05,2.55685e-05,2.55685e-05
33,107.824,0.8878,1.18177,1.48122,0.91923,0.37324,0.46755,0.3401,1.67046,2.28856,1.49208,2.60163e-05,2.60163e-05,2.60163e-05
34,110.161,0.9465,1.09293,1.26857,0.91923,0.37324,0.46755,0.3401,1.67046,2.28856,1.49208,2.64405e-05,2.64405e-05,2.64405e-05
35,112.559,0.94426,1.90912,1.30466,0.91561,0.37303,0.45402,0.31959,1.68674,2.29408,1.50582,2.68412e-05,2.68412e-05,2.68412e-05
36,114.877,0.80194,1.41795,1.20537,0.91561,0.37303,0.45402,0.31959,1.68674,2.29408,1.50582,2.72183e-05,2.72183e-05,2.72183e-05
37,117.27,0.72534,1.24637,1.13863,0.91887,0.37297,0.45406,0.3365,1.69271,2.31702,1.51873,2.75718e-05,2.75718e-05,2.75718e-05
38,120.724,0.447,0.9224,0.95134,0.91887,0.37297,0.45406,0.3365,1.69271,2.31702,1.51873,2.79018e-05,2.79018e-05,2.79018e-05
39,123.053,0.79231,0.87635,1.08443,0.91866,0.37303,0.45252,0.33626,1.68744,2.34829,1.50811,2.82082e-05,2.82082e-05,2.82082e-05
40,125.382,0.65262,0.755,1.06078,0.91866,0.37303,0.45252,0.33626,1.68744,2.34829,1.50811,2.84911e-05,2.84911e-05,2.84911e-05
41,128.029,0.67064,0.89722,1.01461,0.92241,0.37292,0.4522,0.3364,1.70042,2.37506,1.51298,2.87504e-05,2.87504e-05,2.87504e-05
42,130.33,0.54874,1.54582,1.04094,0.92241,0.37292,0.4522,0.3364,1.70042,2.37506,1.51298,2.89861e-05,2.89861e-05,2.89861e-05
43,134.076,1.04091,1.3179,1.31865,0.94065,0.38889,0.45866,0.3398,1.70617,2.37443,1.51984,2.91983e-05,2.91983e-05,2.91983e-05
44,136.393,0.89691,0.89831,1.32339,0.94065,0.38889,0.45866,0.3398,1.70617,2.37443,1.51984,2.93869e-05,2.93869e-05,2.93869e-05
45,138.885,0.60757,0.76414,1.00098,0.94164,0.38886,0.45102,0.33253,1.72667,2.41171,1.52716,2.9552e-05,2.9552e-05,2.9552e-05
46,141.315,0.71675,0.96776,1.15391,0.94164,0.38886,0.45102,0.33253,1.72667,2.41171,1.52716,2.96935e-05,2.96935e-05,2.96935e-05
47,143.839,0.82965,1.6834,1.25239,0.94194,0.39117,0.44892,0.32382,1.73611,2.433,1.51648,2.98114e-05,2.98114e-05,2.98114e-05
48,146.2,0.92679,1.4624,1.26298,0.94194,0.39117,0.44892,0.32382,1.73611,2.433,1.51648,2.99058e-05,2.99058e-05,2.99058e-05
49,148.6,0.84214,0.9312,1.30128,0.94146,0.392,0.45078,0.3248,1.76739,2.41607,1.54882,2.99766e-05,2.99766e-05,2.99766e-05
50,150.911,0.66399,1.07978,1.20489,0.94146,0.392,0.45078,0.3248,1.76739,2.41607,1.54882,3.00238e-05,3.00238e-05,3.00238e-05
51,153.327,0.78068,0.85045,1.14054,0.94252,0.39186,0.44917,0.32389,1.75544,2.40372,1.52847,3.00475e-05,3.00475e-05,3.00475e-05
52,155.645,0.80576,0.86764,1.22236,0.94252,0.39186,0.44917,0.32389,1.75544,2.40372,1.52847,3.00476e-05,3.00476e-05,3.00476e-05
53,157.979,0.64999,0.71508,1.197,0.94252,0.39186,0.44917,0.32389,1.75544,2.40372,1.52847,3.00242e-05,3.00242e-05,3.00242e-05
54,160.388,0.77201,0.84455,1.23379,0.94423,0.39254,0.42215,0.29943,1.76064,2.40706,1.5283,2.99772e-05,2.99772e-05,2.99772e-05
55,162.707,0.6911,0.89422,1.04388,0.94423,0.39254,0.42215,0.29943,1.76064,2.40706,1.5283,2.99066e-05,2.99066e-05,2.99066e-05
56,165.017,1.17369,1.64282,1.57404,0.94423,0.39254,0.42215,0.29943,1.76064,2.40706,1.5283,2.98125e-05,2.98125e-05,2.98125e-05
57,167.385,1.03723,1.43501,1.36167,0.94642,0.39006,0.42217,0.29391,1.77146,2.44556,1.54236,2.96948e-05,2.96948e-05,2.96948e-05
58,169.903,0.82785,1.37626,1.27046,0.94642,0.39006,0.42217,0.29391,1.77146,2.44556,1.54236,2.95535e-05,2.95535e-05,2.95535e-05
59,172.247,0.75571,0.73296,1.16592,0.94642,0.39006,0.42217,0.29391,1.77146,2.44556,1.54236,2.93887e-05,2.93887e-05,2.93887e-05
60,174.675,0.96013,0.8022,1.4976,0.94533,0.39033,0.4244,0.27477,1.78175,2.43012,1.53954,2.92003e-05,2.92003e-05,2.92003e-05
61,177.032,0.6035,0.69335,1.06518,0.94533,0.39033,0.4244,0.27477,1.78175,2.43012,1.53954,2.89884e-05,2.89884e-05,2.89884e-05
62,179.43,0.70549,0.87283,1.05509,0.94533,0.39033,0.4244,0.27477,1.78175,2.43012,1.53954,2.87529e-05,2.87529e-05,2.87529e-05
63,181.804,0.74958,0.81294,1.14692,0.94613,0.39079,0.42484,0.27397,1.82276,2.47318,1.59058,2.84938e-05,2.84938e-05,2.84938e-05
64,184.146,0.66129,0.69153,1.08291,0.94613,0.39079,0.42484,0.27397,1.82276,2.47318,1.59058,2.82112e-05,2.82112e-05,2.82112e-05
65,186.461,0.58698,0.83381,1.18245,0.94613,0.39079,0.42484,0.27397,1.82276,2.47318,1.59058,2.7905e-05,2.7905e-05,2.7905e-05
66,188.82,0.63774,0.9026,1.08607,0.9455,0.39053,0.42168,0.30783,1.83487,2.5079,1.60132,2.75753e-05,2.75753e-05,2.75753e-05
67,191.157,0.69322,1.03637,1.07209,0.9455,0.39053,0.42168,0.30783,1.83487,2.5079,1.60132,2.7222e-05,2.7222e-05,2.7222e-05
68,193.706,0.93442,1.72744,1.33928,0.9455,0.39053,0.42168,0.30783,1.83487,2.5079,1.60132,2.68451e-05,2.68451e-05,2.68451e-05
69,196.09,0.62108,0.99342,1.13023,0.94528,0.39168,0.42131,0.29256,1.85224,2.51191,1.60429,2.64447e-05,2.64447e-05,2.64447e-05
70,198.406,0.88137,0.87028,1.36161,0.94528,0.39168,0.42131,0.29256,1.85224,2.51191,1.60429,2.60207e-05,2.60207e-05,2.60207e-05
71,200.776,1.001,1.29622,1.37771,0.94528,0.39168,0.42131,0.29256,1.85224,2.51191,1.60429,2.55731e-05,2.55731e-05,2.55731e-05
72,203.176,0.58402,0.60421,1.0455,0.94705,0.39003,0.42132,0.29254,1.87307,2.56003,1.63085,2.5102e-05,2.5102e-05,2.5102e-05
73,205.532,0.66899,0.87872,1.0538,0.94705,0.39003,0.42132,0.29254,1.87307,2.56003,1.63085,2.46073e-05,2.46073e-05,2.46073e-05
74,207.837,0.65987,0.6921,1.16065,0.94705,0.39003,0.42132,0.29254,1.87307,2.56003,1.63085,2.40891e-05,2.40891e-05,2.40891e-05
75,210.344,0.68936,0.56732,1.12396,0.94636,0.39019,0.4214,0.29253,1.84675,2.52647,1.58442,2.35472e-05,2.35472e-05,2.35472e-05
76,212.665,0.58043,0.84619,1.10151,0.94636,0.39019,0.4214,0.29253,1.84675,2.52647,1.58442,2.29819e-05,2.29819e-05,2.29819e-05
77,215.007,0.61647,0.58824,1.07481,0.94636,0.39019,0.4214,0.29253,1.84675,2.52647,1.58442,2.23929e-05,2.23929e-05,2.23929e-05
78,217.416,0.79019,1.09079,1.13871,0.94558,0.39115,0.42141,0.29326,1.81681,2.46779,1.52968,2.17805e-05,2.17805e-05,2.17805e-05
